id,label
0,8
1,4
2,3
3,0
4,2
5,8
6,3
7,1
8,5
9,9
10,2
11,9
12,4
13,0
14,6
15,5
16,9
17,9
18,5
19,4
20,4
21,3
22,9
23,6
24,8
25,7
26,7
27,5
28,9
29,1
30,0
31,2
32,5
33,8
34,7
35,4
36,8
37,9
38,9
39,6
40,4
41,7
42,2
43,3
44,9
45,9
46,0
47,3
48,8
49,7
50,1
51,7
52,5
53,4
54,6
55,4
56,2
57,0
58,1
59,7
60,2
61,9
62,6
63,4
64,4
65,0
66,7
67,5
68,9
69,3
70,3
71,5
72,6
73,6
74,7
75,8
76,1
77,9
78,2
79,4
80,2
81,1
82,1
83,0
84,5
85,2
86,8
87,7
88,7
89,1
90,0
91,6
92,0
93,2
94,9
95,7
96,8
97,9
98,3
99,2
100,8
101,7
102,0
103,4
104,7
105,0
106,6
107,0
108,4
109,1
110,8
111,3
112,2
113,6
114,3
115,2
116,8
117,8
118,6
119,8
120,7
121,8
122,6
123,4
124,1
125,0
126,9
127,9
128,6
129,4
130,3
131,4
132,6
133,1
134,3
135,9
136,8
137,1
138,2
139,5
140,4
141,6
142,4
143,5
144,4
145,4
146,2
147,5
148,6
149,2
150,7
151,2
152,1
153,0
154,7
155,1
156,3
157,2
158,1
159,1
160,5
161,1
162,3
163,4
164,3
165,4
166,8
167,8
168,8
169,9
170,9
171,2
172,5
173,5
174,1
175,7
176,6
177,4
178,6
179,2
180,7
181,7
182,4
183,4
184,1
185,2
186,6
187,2
188,2
189,1
190,6
191,2
192,3
193,3
194,8
195,3
196,5
197,9
198,6
199,1
200,5
201,5
202,7
203,0
204,9
205,7
206,0
207,2
208,9
209,7
210,5
211,7
212,6
213,6
214,4
215,4
216,9
217,9
218,9
219,4
220,3
221,0
222,3
223,3
224,9
225,8
226,2
227,3
228,1
229,8
230,5
231,2
232,0
233,4
234,8
235,3
236,0
237,4
238,9
239,1
240,7
241,4
242,6
243,1
244,3
245,3
246,5
247,7
248,2
249,1
250,0
251,7
252,0
253,2
254,0
255,3
256,9
257,2
258,0
259,6
260,5
261,8
262,2
263,9
264,8
265,8
266,8
267,4
268,1
269,3
270,1
271,0
272,8
273,1
274,5
275,4
276,4
277,8
278,7
279,6
280,5
281,3
282,0
283,0
284,0
285,5
286,5
287,0
288,7
289,0
290,6
291,4
292,0
293,9
294,5
295,1
296,3
297,5
298,6
299,1
300,4
301,8
302,7
303,1
304,4
305,2
306,4
307,7
308,0
309,3
310,5
311,1
312,0
313,3
314,8
315,2
316,4
317,9
318,5
319,8
320,6
321,7
322,7
323,7
324,4
325,8
326,0
327,7
328,2
329,0
330,2
331,1
332,5
333,2
334,3
335,3
336,7
337,5
338,1
339,1
340,4
341,7
342,0
343,2
344,5
345,0
346,7
347,3
348,5
349,8
350,6
351,1
352,3
353,4
354,4
355,4
356,6
357,1
358,0
359,0
360,8
361,3
362,1
363,6
364,9
365,6
366,8
367,2
368,7
369,9
370,8
371,9
372,4
373,9
374,1
375,9
376,9
377,8
378,3
379,9
380,3
381,9
382,8
383,5
384,2
385,4
386,6
387,9
388,3
389,7
390,5
391,8
392,2
393,1
394,8
395,6
396,1
397,6
398,2
399,7
400,2
401,8
402,5
403,1
404,6
405,3
406,1
407,8
408,3
409,7
410,0
411,4
412,2
413,8
414,2
415,3
416,4
417,4
418,5
419,3
420,1
421,5
422,7
423,4
424,0
425,9
426,4
427,5
428,4
429,4
430,7
431,9
432,7
433,2
434,4
435,1
436,0
437,2
438,4
439,6
440,6
441,8
442,0
443,2
444,7
445,3
446,3
447,9
448,6
449,5
450,4
451,7
452,5
453,9
454,2
455,5
456,8
457,4
458,8
459,7
460,2
461,6
462,6
463,1
464,6
465,5
466,0
467,8
468,2
469,9
470,3
471,5
472,2
473,1
474,6
475,6
476,0
477,7
478,6
479,8
480,9
481,9
482,6
483,3
484,7
485,8
486,5
487,7
488,1
489,1
490,5
491,0
492,4
493,7
494,8
495,5
496,1
497,1
498,4
499,6
500,2
501,8
502,7
503,3
504,7
505,4
506,8
507,7
508,1
509,5
510,3
511,5
512,5
513,2
514,8
515,5
516,5
517,8
518,8
519,3
520,6
521,2
522,5
523,5
524,5
525,5
526,2
527,9
528,2
529,5
530,2
531,1
532,6
533,2
534,1
535,4
536,2
537,9
538,5
539,5
540,8
541,7
542,6
543,2
544,8
545,4
546,0
547,1
548,3
549,1
550,9
551,9
552,9
553,6
554,3
555,5
556,5
557,4
558,0
559,7
560,7
561,1
562,4
563,8
564,5
565,7
566,9
567,7
568,4
569,8
570,9
571,3
572,2
573,2
574,0
575,2
576,6
577,6
578,6
579,0
580,5
581,3
582,9
583,8
584,0
585,8
586,8
587,6
588,0
589,1
590,2
591,7
592,9
593,4
594,1
595,8
596,5
597,6
598,5
599,4
600,6
601,2
602,5
603,5
604,9
605,7
606,7
607,8
608,2
609,4
610,7
611,1
612,8
613,0
614,4
615,6
616,3
617,3
618,7
619,9
620,4
621,6
622,1
623,7
624,4
625,5
626,6
627,5
628,3
629,9
630,6
631,2
632,4
633,5
634,2
635,9
636,2
637,3
638,4
639,9
640,0
641,8
642,0
643,8
644,4
645,7
646,1
647,9
648,6
649,3
650,0
651,9
652,5
653,9
654,5
655,3
656,8
657,8
658,4
659,0
660,0
661,6
